Sample A1,,Sample A2,,Sample A3,,Sample A4,,Sample A5,,Sample A6,,Sample A7,,Sample A8,,Sample A9,,Sample A10,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
101.0008316,20.41914368,101.0206223,26.20149231,101.0417099,30.92220879,101.0622101,29.09369469,101.0827332,29.36143303,101.1032486,26.26492882,101.1243744,23.63273048,101.1453934,24.17093658,101.1663742,22.27511787,101.1865387,27.87254143,
102.0008316,23.85479736,102.0217514,26.15317345,102.0429764,32.2684021,102.0632095,30.75964737,102.0835648,27.26100159,102.1049576,28.86542511,102.1251221,21.22062874,102.1462097,23.09707642,102.166481,22.90412521,102.1874771,32.86621094,
103.0008316,18.56492615,103.0203934,31.00151253,103.0419617,28.31884003,103.0623779,29.94614029,103.0829773,27.13961792,103.1039124,26.65794754,103.1253738,25.61172485,103.1455383,19.95084572,103.1665878,22.21032906,103.1871262,31.72471046,
104.0008316,21.92144966,104.0212326,24.9782238,104.0422287,30.43653297,104.0628967,29.7437458,104.0838776,29.38566208,104.1050644,29.908144,104.125412,22.58298874,104.1460419,22.41409111,104.1670837,20.37505722,104.1882095,30.76156044,
105.0008316,20.31290627,105.0220642,27.99419785,105.0426407,30.8435173,105.0628738,30.09327507,105.0840378,27.65468025,105.1048965,26.76340485,105.1262054,26.40706825,105.1462326,23.09695816,105.1675644,18.45544434,105.1884766,29.58967781,
106.0008316,23.79233932,106.0215683,23.3403759,106.0426407,27.38025856,106.0637054,29.06739235,106.0839157,27.1644783,106.1058121,24.87110138,106.1268692,21.7677002,106.147728,23.78207588,106.168251,22.16945839,106.1892929,30.26735497,
107.0008316,24.16679001,107.0215683,27.11798286,107.0419617,32.30220413,107.0628738,30.33132362,107.0838776,28.75445175,107.104393,26.40088844,107.1253128,23.1277256,107.1453934,21.07901001,107.1667328,24.73672485,107.1869125,32.95101166,
108.0008316,23.1155529,108.0200577,26.31189346,108.0412292,27.84340286,108.0617523,28.75681877,108.0823975,25.61247253,108.1034622,29.02910423,108.1238937,22.1954155,108.1451492,23.94743347,108.1667099,22.89259338,108.1868744,26.10663986,
109.0008316,25.11770058,109.0213776,29.12878227,109.0400391,29.81596184,109.061203,30.45902061,109.0815582,30.07389641,109.1032867,30.52951622,109.1243744,22.03610611,109.1455612,21.10080528,109.1657867,25.36188316,109.185379,30.88480759,
110.0008316,25.02588463,110.0204163,27.50067329,110.0409622,30.34238052,110.0615387,32.05448151,110.0827332,24.24078369,110.1032333,28.81114769,110.1242294,21.90696907,110.1455383,25.03359222,110.1665573,23.73909187,110.1870575,31.7755146,
